movie_name;genre;year;timeMin;imdb;metascore;votes;us_grossMillions
Enter the Dragon;Action, Crime, Drama;1973;102;77;830;92467;250
The Wrestler;Drama, Sport;2008;109;79;800;283282;2624
Let the Right One In;Drama, Horror, Romance;2008;114;79;820;200179;212
Flipped;Comedy, Drama, Romance;2010;90;77;450;78025;175
Planes, Trains & Automobiles;Comedy, Drama;1987;93;76;720;116797;4953
The French Connection;Action, Crime, Drama;1971;104;77;940;104553;1563
Rashomon;Crime, Drama, Mystery;1950;88;82;980;143683;1
The Bridge on the River Kwai;Adventure, Drama, War;1957;161;81;870;194468;4491
The Wild Bunch;Action, Adventure, Western;1969;135;79;970;74696;1206
The Bridges of Madison County;Drama, Romance;1995;135;76;660;69040;7152
Night of the Living Dead;Horror;1968;96;79;890;110710;9
A Streetcar Named Desire;Drama;1951;122;80;970;95179;80
Chungking Express;Comedy, Crime, Drama;1994;102;81;770;57416;6
Me and Earl and the Dying Girl;Comedy, Drama;2015;105;77;740;118074;674
A Little Princess;Drama, Family, Fantasy;1995;97;77;830;30804;1002
The Straight Story;Biography, Drama;1999;112;80;860;77975;62
Dial M for Murder;Crime, Thriller;1954;105;82;750;148563;1
Modern Times;Comedy, Drama, Family;1936;87;85;960;204796;16
The Secret World of Arrietty;Animation, Adventure, Family;2010;94;76;800;73890;192
The Fall;Adventure, Drama, Fantasy;2006;117;79;640;104344;228
How to Train Your Dragon 2;Animation, Action, Adventure;2014;102;78;760;293072;1770
Hero;Action, Adventure, History;2002;107;79;850;170119;5371
All the President's Men;Biography, Drama, History;1976;138;80;800;97417;706
October Sky;Biography, Drama, Family;1999;108;78;710;78408;3248
On the Waterfront;Crime, Drama, Thriller;1954;108;81;910;134959;96
Cinderella Man;Biography, Drama, History;2005;144;80;690;171130;6165
The Insider;Biography, Drama, Thriller;1999;157;78;840;154570;2897
Gully Boy;Drama, Musical;2019;153;82;650;26127;557
Clerks;Comedy;1994;92;77;700;207021;315
La Dolce Vita;Comedy, Drama;1960;174;80;950;62565;1952
Kal ho naa ho;Comedy, Drama, Romance;2003;186;80;540;60251;179
Synecdoche, New York;Comedy, Drama;2008;124;76;670;77063;308
Ray;Biography, Drama, Music;2004;152;77;730;133244;7533
The King of Comedy;Comedy, Crime, Drama;1982;109;78;730;80220;25
Lady Vengeance;Crime, Drama, Thriller;2005;115;76;750;68189;21
Rushmore;Comedy, Drama;1998;93;77;860;162908;1711
Miller's Crossing;Crime, Drama, Thriller;1990;115;78;660;121910;508
My Fair Lady;Drama, Family, Musical;1964;170;78;950;83159;720
Falling Down;Crime, Drama, Thriller;1993;113;76;560;162645;409
Ordinary People;Drama;1980;124;77;870;44513;548
All About Eve;Drama;1950;138;82;980;114802;1
National Lampoon's Christmas Vacation;Comedy;1989;97;76;490;146872;7132
The Iron Giant;Animation, Action, Adventure;1999;86;80;850;164862;2316
The Outlaw Josey Wales;Western;1976;135;79;690;62687;318
Ed Wood;Biography, Comedy, Drama;1994;127;78;700;161169;589
A Man for All Seasons;Biography, Drama, History;1966;120;77;720;29698;2835
Dancer in the Dark;Crime, Drama, Musical;2000;140;80;610;97987;418
Dangerous Liaisons;Drama, Romance;1988;119;76;740;62066;347
Finding Neverland;Biography, Drama, Family;2004;106;77;670;194453;5168
The Last King of Scotland;Biography, Drama, History;2006;123;77;740;170489;1761
Short Term 12;Drama;2013;96;80;820;77435;101
Double Indemnity;Crime, Drama, Film-Noir;1944;107;83;950;135653;572
Guess Who's Coming to Dinner;Comedy, Drama;1967;108;78;630;37142;567
The Third Man;Film-Noir, Mystery, Thriller;1949;93;81;970;151839;45
This Is England;Crime, Drama;2006;101;77;860;112834;33
The Remains of the Day;Drama, Romance;1993;134;78;840;61761;2295
The Tale of The Princess Kaguya;Animation, Adventure, Drama;2013;137;80;890;33395;151
Naked;Comedy, Drama;1993;132;78;840;32182;177
Glengarry Glen Ross;Crime, Drama, Mystery;1992;100;77;800;91877;1073
Paper Moon;Comedy, Drama;1973;102;80;770;39991;3093
Kubo and the Two Strings;Animation, Action, Adventure;2016;101;78;840;112362;4802
Mississippi Burning;Crime, Drama, History;1988;128;78;650;83005;346
Three Colors: Blue;Drama, Music, Mystery;1993;94;79;850;83177;132
Letters from Iwo Jima;Action, Adventure, Drama;2006;141;79;890;150059;1376
Blood Simple;Crime, Drama, Thriller;1984;99;76;810;83177;215
Wings of Desire;Drama, Fantasy, Romance;1987;128;80;790;61172;333
Mommy;Drama;2014;139;81;740;46635;349
Cabaret;Drama, Musical;1972;124;78;800;46064;4277
My Left Foot;Biography, Drama;1989;103;79;970;64350;1474
In the Heat of the Night;Crime, Drama, Mystery;1967;110;79;750;63928;2438
The Longest Day;Action, Drama, History;1962;178;78;750;50619;391
Sympathy for Mr. Vengeance;Action, Drama, Thriller;2002;129;76;560;59382;5
The Right Stuff;Adventure, Biography, Drama;1983;193;78;910;54113;215
The Muppet Movie;Adventure, Comedy, Family;1979;95;76;740;31074;7666
Evil Dead II;Comedy, Horror;1987;84;78;690;142120;592
All That Jazz;Drama, Music, Musical;1979;123;79;720;26115;3782
Frost/Nixon;Biography, Drama, History;2008;122;77;800;99573;1859
Shane;Drama, Western;1953;118;76;800;35280;200
The Motorcycle Diaries;Adventure, Biography, Drama;2004;126;78;750;93949;1676
High Noon;Drama, Thriller, Western;1952;85;79;890;93887;945
Fantasia;Animation, Family, Fantasy;1940;125;78;960;85120;7641
The Maltese Falcon;Film-Noir, Mystery;1941;100;80;960;144652;211
Strangers on a Train;Crime, Film-Noir, Thriller;1951;101;80;880;118517;763
Pink Floyd: The Wall;Animation, Drama, Fantasy;1982;95;80;470;73265;2224
Breaking the Waves;Drama;1996;159;79;760;59863;404
Three Colors: Red;Drama, Mystery, Romance;1994;99;81;1000;84622;404
Fanny and Alexander;Drama;1982;188;81;1000;54390;497
Lagaan: Once Upon a Time in India;Adventure, Drama, Musical;2001;224;81;840;99084;7
Detachment;Drama;2011;98;77;520;72952;7
The Double Life of Véronique;Drama, Fantasy, Music;1991;98;78;860;39000;20
All About My Mother;Drama;1999;101;78;870;85012;826
The Treasure of the Sierra Madre;Adventure, Drama, Western;1948;126;82;980;108658;501
I, Daniel Blake;Drama;2016;100;79;780;48976;26
Barton Fink;Comedy, Drama, Thriller;1991;116;77;690;108499;615
Run Lola Run;Crime, Drama, Thriller;1998;80;76;770;183525;727
Delicatessen;Comedy, Crime;1991;99;76;660;77833;179
Amour;Drama, Romance;2012;127;79;930;89023;674
Kelly's Heroes;Adventure, Comedy, War;1970;144;76;500;43335;138
The Life of David Gale;Crime, Drama, Thriller;2003;130;76;310;105003;1959
What Ever Happened to Baby Jane?;Drama, Horror, Thriller;1962;134;81;750;47584;405
The Killing Fields;Biography, Drama, History;1984;141;78;760;49448;347
Being There;Comedy, Drama;1979;130;80;830;62881;3018
Nebraska;Adventure, Comedy, Drama;2013;115;77;860;108888;1765
La Vie En Rose;Biography, Drama, Music;2007;140;76;660;80055;103
Paprika;Animation, Drama, Fantasy;2006;90;77;810;65743;88
Hedwig and the Angry Inch;Comedy, Drama, Music;2001;95;77;850;30841;303
City Lights;Comedy, Drama, Romance;1931;87;85;990;157586;2
Dead Man;Adventure, Drama, Fantasy;1995;121;76;620;87011;104
Mustang;Drama;2015;97;76;830;33406;85
Happiness;Comedy, Drama;1998;134;77;810;64386;281
Black Book;Drama, Thriller, War;2006;145;77;710;70381;44
Giant;Drama, Western;1956;201;76;840;32529;350
