movie_name;genre;year;timeMin;imdb;metascore;votes;us_grossMillions
Mission: Impossible - Fallout;Action, Adventure, Thriller;2018;147;77;860;268384;22016
Pirates of the Caribbean: The Curse of the Black Pearl;Action, Adventure, Fantasy;2003;143;80;630;989741;30541
The Lord of the Rings: The Return of the King;Adventure, Drama, Fantasy;2003;201;89;940;1574216;37785
12 Monkeys;Mystery, Sci-Fi, Thriller;1995;129;80;740;559413;5714
The Avengers;Action, Adventure, Sci-Fi;2012;143;80;690;1225562;62328
Minority Report;Action, Crime, Mystery;2002;145;76;800;488636;13207
Baby Driver;Action, Crime, Drama;2017;113;76;860;405595;10783
Spider-Man: Into the Spider-Verse;Animation, Action, Adventure;2018;117;84;870;309476;19024
Back to the Future;Adventure, Comedy, Sci-Fi;1985;116;85;870;992613;21061
Spirited Away;Animation, Adventure, Family;2001;125;86;960;603116;1006
Dunkirk;Action, Drama, History;2017;106;79;940;510933;18837
The Godfather: Part II;Crime, Drama;1974;202;90;900;1071305;573
Django Unchained;Drama, Western;2012;165;84;810;1284681;16281
No Country for Old Men;Crime, Drama, Thriller;2007;122;81;910;809218;7428
Harry Potter and the Goblet of Fire;Adventure, Family, Fantasy;2005;157;77;810;517016;29001
Requiem for a Dream;Drama;2000;102;83;680;733660;364
Alien;Horror, Sci-Fi;1979;117;84;890;751532;789
Avatar;Action, Adventure, Fantasy;2009;162;78;830;1086160;76051
28 Days Later...;Drama, Horror, Sci-Fi;2002;113;76;730;362695;4506
Ex Machina;Drama, Mystery, Sci-Fi;2014;108;77;780;449775;2544
The Green Mile;Crime, Drama, Fantasy;1999;189;86;610;1083580;1368
Jurassic Park;Action, Adventure, Sci-Fi;1993;127;81;680;823456;40245
Apocalypse Now;Drama, Mystery, War;1979;147;84;940;577604;8347
Snatch;Comedy, Crime;2000;102;83;550;752185;3033
The Big Short;Biography, Comedy, Drama;2015;130;78;810;336258;7026
Iron Man;Action, Adventure, Sci-Fi;2008;126;79;790;905563;31841
Moana;Animation, Adventure, Comedy;2016;107;76;810;248933;24876
Deadpool 2;Action, Adventure, Comedy;2018;119;77;660;444245;32459
Lion;Biography, Drama;2016;118;80;690;198560;5174
Blade Runner;Action, Sci-Fi, Thriller;1982;117;81;840;663144;3287
There Will Be Blood;Drama;2007;158;82;930;489536;4022
Rogue One: A Star Wars Story;Action, Adventure, Sci-Fi;2016;133;78;650;525294;53218
The Lion King;Animation, Adventure, Drama;1994;88;85;880;897224;42278
Her;Drama, Romance, Sci-Fi;2013;126;80;900;507649;2557
Coco;Animation, Adventure, Family;2017;105;84;810;331590;20973
Zodiac;Crime, Drama, Mystery;2007;157;77;780;425733;3308
Room;Drama, Thriller;2015;118;81;860;343982;1468
Harry Potter and the Prisoner of Azkaban;Adventure, Family, Fantasy;2004;142;79;820;519010;24936
Whiplash;Drama, Music;2014;106;85;880;668648;1309
Three Billboards Outside Ebbing, Missouri;Comedy, Crime, Drama;2017;115;82;880;392608;5451
The Wizard of Oz;Adventure, Family, Fantasy;1939;102;80;1000;362346;208
Brokeback Mountain;Drama, Romance;2005;134;77;870;311540;8304
12 Angry Men;Drama;1957;96;89;960;648966;436
Get Out;Horror, Mystery, Thriller;2017;104;77;850;453774;17604
Zootopia;Animation, Adventure, Comedy;2016;108;80;780;410100;34127
Eternal Sunshine of the Spotless Mind;Drama, Romance, Sci-Fi;2004;108;83;890;868540;344
Memento;Mystery, Thriller;2000;113;84;800;1076188;2554
Captain America: Civil War;Action, Adventure, Sci-Fi;2016;147;78;750;628285;40808
Pride & Prejudice;Drama, Romance;2005;129;78;820;241434;3841
Batman Begins;Action, Adventure;2005;140;82;700;1253332;20685
Ferris Bueller's Day Off;Comedy;1986;103;78;610;304402;7014
The Goonies;Adventure, Comedy, Family;1985;114;78;620;229870;615
Ratatouille;Animation, Adventure, Comedy;2007;111;80;960;611908;20645
Star Wars: Episode VII - The Force Awakens;Action, Adventure, Sci-Fi;2015;138;79;800;832622;93666
Oldboy;Action, Drama, Mystery;2003;120;84;770;487810;71
The Princess Bride;Adventure, Family, Fantasy;1987;98;81;770;376145;3086
The Usual Suspects;Crime, Mystery, Thriller;1995;106;85;770;949340;2334
Jaws;Adventure, Drama, Thriller;1975;124;80;870;526149;2600
V for Vendetta;Action, Drama, Sci-Fi;2005;132;82;620;990418;7051
Scarface;Crime, Drama;1983;170;83;650;703235;456
The Revenant;Action, Adventure, Biography;2015;156;80;760;667355;18364
The Intouchables;Biography, Comedy, Drama;2011;112;85;570;719900;1318
A Star Is Born;Drama, Music, Romance;2018;136;77;880;304154;21529
Argo;Biography, Drama, Thriller;2012;120;77;860;554887;13603
The Grand Budapest Hotel;Adventure, Comedy, Crime;2014;99;81;880;670468;591
Superbad;Comedy;2007;113;76;760;503085;12146
Braveheart;Biography, Drama, History;1995;178;83;680;927085;756
The Lord of the Rings: The Two Towers;Adventure, Drama, Fantasy;2002;179;87;870;1421687;34255
The Big Lebowski;Comedy, Crime, Sport;1998;117;81;710;696113;175
Star Trek;Action, Adventure, Sci-Fi;2009;127;79;820;567029;25773
The Pianist;Biography, Drama, Music;2002;150;85;850;688312;3257
Airplane!;Comedy;1980;88;77;780;200844;834
Hacksaw Ridge;Biography, Drama, History;2016;139;81;710;402664;6721
Logan;Action, Drama, Sci-Fi;2017;137;81;770;609272;22628
Dazed and Confused;Comedy;1993;102;76;780;156383;799
One Flew Over the Cuckoo's Nest;Drama;1975;133;87;830;873577;1120
The Hateful Eight;Crime, Drama, Mystery;2015;168;78;680;483789;5412
Kingsman: The Secret Service;Action, Adventure, Comedy;2014;129;77;600;569432;12826
Watchmen;Action, Drama, Mystery;2009;162;76;560;482620;10751
The Breakfast Club;Comedy, Drama;1985;97;79;620;333860;4588
Heat;Crime, Drama, Thriller;1995;170;82;760;549572;6744
Wonder;Drama, Family;2017;113;80;660;127122;13242
Training Day;Crime, Drama, Thriller;2001;122;77;690;372535;7663
The Hobbit: An Unexpected Journey;Adventure, Family, Fantasy;2012;169;78;580;737982;3030
Life Is Beautiful;Comedy, Drama, Romance;1997;116;86;590;590060;576
Catch Me If You Can;Biography, Crime, Drama;2002;141;81;750;774704;16462
Mystic River;Crime, Drama, Mystery;2003;138;79;840;403805;9014
Inside Out;Animation, Adventure, Comedy;2015;95;82;940;576125;35646
Mulholland Drive;Drama, Mystery, Thriller;2001;147;80;840;304474;722
The Peanut Butter Falcon;Adventure, Comedy, Drama;2019;97;76;700;38609;1312
The Sound of Music;Biography, Drama, Family;1965;172;80;630;194508;16321
La La Land;Comedy, Drama, Music;2016;128;80;940;472376;1511
Sicario;Action, Crime, Drama;2015;121;76;820;350233;4689
Lethal Weapon;Action, Crime, Thriller;1987;109;76;680;228344;6521
Ocean's Eleven;Crime, Thriller;2001;116;77;740;493893;18342
The Truman Show;Comedy, Drama, Sci-Fi;1998;103;81;900;885440;12562
Captain America: The Winter Soldier;Action, Adventure, Sci-Fi;2014;136;77;700;704944;25977
Tangled;Animation, Adventure, Comedy;2010;100;77;710;387782;20082
Indiana Jones and the Last Crusade;Action, Adventure;1989;127;82;650;663621;19717
Zombieland;Adventure, Comedy, Horror;2009;88;76;730;501035;7559
American History X;Drama;1998;119;85;620;995875;672
Harry Potter and the Deathly Hallows: Part 1;Adventure, Family, Fantasy;2010;146;77;650;450975;29598
The Girl with the Dragon Tattoo;Crime, Drama, Mystery;2011;158;78;710;403953;10252
The Notebook;Drama, Romance;2004;123;78;530;497143;810
Harry Potter and the Half-Blood Prince;Action, Adventure, Family;2009;153;76;780;445368;30196
Drive;Crime, Drama;2011;100;78;780;547181;3506
Star Wars: Episode V - The Empire Strikes Back;Action, Adventure, Fantasy;1980;124;87;820;1110816;29048
Cast Away;Adventure, Drama, Romance;2000;143;78;730;498125;23363
Kill Bill: Vol. 1;Action, Crime, Thriller;2003;111;81;690;956991;701
Arrival;Drama, Mystery, Sci-Fi;2016;116;79;810;557966;10055
Reservoir Dogs;Crime, Drama, Thriller;1992;99;83;790;877411;283
Pan's Labyrinth;Drama, Fantasy, War;2006;118;82;980;596016;3763
Donnie Darko;Drama, Mystery, Sci-Fi;2001;113;80;880;718738;148
The Favourite;Biography, Comedy, Drama;2018;119;76;910;154330;3437
About Time;Comedy, Drama, Fantasy;2013;123;78;550;282547;1532
Seven Samurai;Action, Adventure, Drama;1954;207;86;980;300373;27
Hidden Figures;Biography, Drama, History;2016;127;78;740;186200;16961
Star Wars: Episode VI - Return of the Jedi;Action, Adventure, Fantasy;1983;131;83;580;910720;30913
Love Actually;Comedy, Drama, Romance;2003;135;76;550;410191;597
The Terminator;Action, Sci-Fi;1984;107;80;840;769799;384
The Florida Project;Drama;2017;111;76;920;83241;59
City of God;Crime, Drama;2002;130;86;790;673741;756
American Psycho;Comedy, Crime, Drama;2000;101;76;640;459644;1507
Your Name.;Animation, Drama, Fantasy;2016;106;84;790;164296;502
Into the Wild;Adventure, Biography, Drama;2007;148;81;730;547446;1835
Birdman or (The Unexpected Virtue of Ignorance);Comedy, Drama;2014;119;77;870;552658;4234
Terminator 2: Judgment Day;Action, Sci-Fi;1991;137;85;750;957170;20484
True Romance;Crime, Drama, Romance;1993;119;79;590;197924;1228
Ben-Hur;Adventure, Drama, History;1959;212;81;900;210600;747
300;Action, Drama;2006;117;76;520;713493;21061
What We Do in the Shadows;Comedy, Horror;2014;86;77;760;142290;333
The Godfather: Part III;Crime, Drama;1990;162;76;600;341476;6667
Psycho;Horror, Mystery, Thriller;1960;109;85;970;570514;320
Silver Linings Playbook;Comedy, Drama, Romance;2012;122;77;810;641446;13209
Capernaum;Drama;2018;126;84;750;43328;166
2001: A Space Odyssey;Adventure, Sci-Fi;1968;149;83;840;573583;5695
Sherlock Holmes;Action, Adventure, Crime;2009;128;76;570;566133;20903
Toy Story;Animation, Adventure, Comedy;1995;81;83;950;846292;1918
The Handmaiden;Drama, Romance, Thriller;2016;145;81;840;96274;201
Captain Fantastic;Comedy, Drama;2016;118;79;720;174426;588
A Beautiful Mind;Biography, Drama;2001;135;82;720;810586;17074
Warrior;Drama, Sport;2011;140;82;710;419650;1366
Slumdog Millionaire;Drama, Romance;2008;120;80;850;773700;14132
The Curious Case of Benjamin Button;Drama, Fantasy, Romance;2008;166;78;700;563353;12751
Lost in Translation;Drama, Romance;2003;102;77;890;393179;4459
Edge of Tomorrow;Action, Adventure, Sci-Fi;2014;113;79;710;574140;10021
Sin City;Crime, Thriller;2005;124;80;740;728007;741
Full Metal Jacket;Drama, War;1987;116;83;760;643459;4636
Fiddler on the Roof;Drama, Family, Musical;1971;181;80;670;37150;805
Incredibles 2;Animation, Action, Adventure;2018;118;76;800;230453;60858
The Theory of Everything;Biography, Drama, Romance;2014;123;77;720;381457;3589
The Sixth Sense;Drama, Mystery, Thriller;1999;107;81;640;878851;29351
12 Years a Slave;Biography, Drama, History;2013;134;81;960;609650;5667
Die Hard;Action, Thriller;1988;132;82;720;754876;8301
Spotlight;Biography, Crime, Drama;2015;129;81;930;393539;4506
Shaun of the Dead;Comedy, Horror;2004;99;79;760;493463;1354
Black Swan;Drama, Thriller;2010;108;80;790;675111;10695
Once Upon a Time in the West;Western;1968;165;85;800;287408;532
Fargo;Crime, Drama, Thriller;1996;98;81;850;588478;2461
Indiana Jones and the Temple of Doom;Action, Adventure;1984;118;76;570;427761;17987
The King's Speech;Biography, Drama, History;2010;118;80;880;618018;1388
Stardust;Adventure, Family, Fantasy;2007;127;76;660;246137;3863
Apocalypto;Action, Adventure, Drama;2006;139;78;680;279755;5087
Princess Mononoke;Animation, Adventure, Fantasy;1997;134;84;760;317978;238
Groundhog Day;Comedy, Fantasy, Romance;1993;101;80;720;560650;7091
Nightcrawler;Crime, Drama, Thriller;2014;117;79;760;435049;3238
Lock, Stock and Two Smoking Barrels;Comedy, Crime;1998;107;82;660;514455;39
The Martian;Adventure, Drama, Sci-Fi;2015;144;80;800;723067;22843
Memories of Murder;Action, Crime, Drama;2003;132;81;820;119516;1
The Farewell;Comedy, Drama;2019;100;76;890;36287;1688
Mulan;Animation, Adventure, Family;1998;88;76;710;238119;12062
The Hunt;Drama;2012;115;83;770;260609;69
Stand by Me;Adventure, Drama;1986;89;81;750;348126;5229
Blue Is the Warmest Colour;Drama, Romance;2013;180;77;880;131633;22
Mary Poppins;Comedy, Family, Fantasy;1964;139;78;880;151145;10227
Rear Window;Mystery, Thriller;1954;112;84;1000;421671;3676
Moneyball;Biography, Drama, Sport;2011;133;76;870;344549;7561
Up;Animation, Adventure, Comedy;2009;96;82;880;892712;2930
Platoon;Drama, War;1986;120;81;920;366692;13853
Monsters, Inc.;Animation, Adventure, Comedy;2001;92;80;790;779988;28992
Casablanca;Drama, Romance, War;1942;102;85;1000;499207;102
The Imitation Game;Biography, Drama, Thriller;2014;114;80;730;651903;9113
The Incredibles;Animation, Action, Adventure;2004;115;80;900;632082;26144
Gangs of New York;Crime, Drama;2002;167;75;720;389182;7781
Hot Fuzz;Action, Comedy, Mystery;2007;121;78;810;444952;2364
The Help;Drama;2011;146;81;620;409012;16971
The Lives of Others;Drama, Mystery, Thriller;2006;137;84;890;341301;1129
Amélie;Comedy, Romance;2001;122;83;690;678890;3323
Casino;Crime, Drama;1995;178;82;730;440087;4244
Gran Torino;Drama;2008;116;81;720;695622;1481
WALL·E;Animation, Adventure, Family;2008;98;84;950;955180;22381
Crash;Crime, Drama, Thriller;2004;112;78;660;410418;5458
Boogie Nights;Drama;1997;155;79;850;228948;264
As Good as It Gets;Comedy, Drama, Romance;1997;139;77;670;264906;14848
Lawrence of Arabia;Adventure, Biography, Drama;1962;228;83;1000;255171;4482
Mad Max 2: The Road Warrior;Action, Adventure, Sci-Fi;1981;96;76;770;160516;1247
Rush;Biography, Drama, Sport;2013;123;81;740;413399;2695
True Grit;Drama, Western;2010;110;76;800;297297;17124
The Pursuit of Happyness;Biography, Drama;2006;117;80;640;426360;16357
Aladdin;Animation, Adventure, Comedy;1992;90;80;860;353170;21735
Unforgiven;Drama, Western;1992;130;82;850;358542;10116
Atonement;Drama, Mystery, Romance;2007;123;78;850;238259;5093
X-Men: Days of Future Past;Action, Adventure, Sci-Fi;2014;132;80;750;642128;23392
Children of Men;Drama, Thriller;2006;109;79;840;445697;3555
Dr. Strangelove;Comedy;1964;95;84;970;432649;28
A Few Good Men;Drama, Thriller;1992;138;77;620;224254;14134
Black Hawk Down;Drama, History, War;2001;144;77;740;352477;10864
3 Idiots;Comedy, Drama;2009;170;84;670;321220;653
Finding Nemo;Animation, Adventure, Comedy;2003;100;81;900;911110;38084
The Fifth Element;Action, Adventure, Sci-Fi;1997;126;77;520;418482;6354
The Thing;Horror, Mystery, Sci-Fi;1982;109;81;570;351113;1378
Trainspotting;Drama;1996;93;81;830;613377;165
Ghostbusters;Action, Comedy, Fantasy;1984;105;78;710;340587;23863
Midnight in Paris;Comedy, Fantasy, Romance;2011;94;77;810;371057;5682
The Exorcist;Horror;1973;122;80;810;348408;23291
Predator;Action, Adventure, Sci-Fi;1987;107;78;450;358473;5974
Magnolia;Drama;1999;188;80;770;279880;2246
The Deer Hunter;Drama, War;1978;183;81;860;297681;4898
Home Alone;Comedy, Family;1990;103;76;630;443825;28576
L.A. Confidential;Crime, Drama, Mystery;1997;138;82;900;512493;6462
Ponyo;Animation, Adventure, Comedy;2008;101;77;860;114575;1509
Gone with the Wind;Drama, History, Romance;1939;238;81;970;276300;19868
X-Men: First Class;Action, Adventure, Sci-Fi;2011;131;77;650;629230;14641
Hell or High Water;Action, Crime, Drama;2016;102;76;880;191331;2686
Gravity;Drama, Sci-Fi, Thriller;2013;91;77;960;742415;27409
Incendies;Drama, Mystery, War;2010;131;83;800;135599;686
The Hobbit: The Desolation of Smaug;Adventure, Fantasy;2013;161;78;660;583391;25837
The Sandlot;Comedy, Drama, Family;1993;101;78;550;75117;3242
Hunt for the Wilderpeople;Adventure, Comedy, Drama;2016;101;79;810;98968;52
Dallas Buyers Club;Biography, Drama;2013;117;80;810;421216;273
The Last Samurai;Action, Drama, War;2003;154;77;550;384534;11111
Big Hero 6;Animation, Action, Adventure;2014;102;78;740;392771;22253
Dead Poets Society;Comedy, Drama;1989;128;81;790;398250;9586
E.T. the Extra-Terrestrial;Family, Sci-Fi;1982;115;78;910;354444;43511
Lolita;Crime, Drama, Romance;1962;153;76;790;88083;925
Remember the Titans;Biography, Drama, Sport;2000;113;78;480;190686;11565
Amadeus;Biography, Drama, History;1984;160;83;880;353709;5197
The Bourne Identity;Action, Mystery, Thriller;2002;119;79;680;491096;12166
Annie Hall;Comedy, Romance;1977;93;80;920;244336;392
Downfall;Biography, Drama, History;2004;156;82;820;318452;551
Misery;Drama, Thriller;1990;107;78;750;174289;6128
Big Fish;Adventure, Drama, Fantasy;2003;125;80;580;402160;6626
Shrek;Animation, Adventure, Comedy;2001;90;78;840;589800;26767
Blue Velvet;Drama, Mystery, Thriller;1986;120;78;760;171553;855
Tombstone;Action, Biography, Drama;1993;130;78;500;120117;5651
Blood Diamond;Adventure, Drama, Thriller;2006;143;80;640;480633;5737
The Impossible;Drama, History, Thriller;2012;114;76;730;188070;1902
Rocky;Drama, Sport;1976;120;81;700;496146;11724
Toy Story 3;Animation, Adventure, Comedy;2010;103;83;920;725637;4150
Edward Scissorhands;Drama, Fantasy, Romance;1990;105;79;740;430382;5636
Wind River;Crime, Drama, Mystery;2017;107;77;730;187334;338
Spartacus;Adventure, Biography, Drama;1960;197;79;870;119136;300
Almost Famous;Adventure, Comedy, Drama;2000;122;79;900;242761;3253
The Conversation;Drama, Mystery, Thriller;1974;113;78;850;92058;442
The Fugitive;Action, Crime, Drama;1993;130;78;870;256056;18388
Kill Bill: Vol. 2;Action, Crime, Thriller;2004;137;80;830;654088;6621
Manchester by the Sea;Drama;2016;137;78;960;231099;477
My Neighbor Totoro;Animation, Family, Fantasy;1988;86;82;860;264849;111
Little Miss Sunshine;Comedy, Drama;2006;101;78;800;424447;5989
The Apartment;Comedy, Drama, Romance;1960;125;83;940;154083;186
The Little Mermaid;Animation, Family, Fantasy;1989;83;76;880;226590;11154
The Others;Horror, Mystery, Thriller;2001;104;76;740;325016;9652
The Game;Action, Drama, Mystery;1997;129;78;610;329360;4832
The Fault in Our Stars;Drama, Romance;2014;126;77;690;329892;12487
The Secret in Their Eyes;Drama, Mystery, Romance;2009;129;82;800;182524;639
Chinatown;Drama, Mystery, Thriller;1974;130;82;920;279602;292
O Brother, Where Art Thou?;Adventure, Comedy, Crime;2000;107;77;690;274076;4551
Moonrise Kingdom;Comedy, Drama, Romance;2012;94;78;840;304893;4551
Blazing Saddles;Comedy, Western;1974;93;77;730;120708;1195
Million Dollar Baby;Drama, Sport;2004;132;81;860;611086;10049
The Butterfly Effect;Drama, Sci-Fi, Thriller;2004;113;76;300;437124;5794
Raging Bull;Biography, Drama, Sport;1980;129;82;890;306281;2338
Monty Python and the Holy Grail;Adventure, Comedy, Fantasy;1975;91;82;930;482664;123
Escape from Alcatraz;Biography, Crime, Drama;1979;112;76;760;111684;430
Before Sunrise;Drama, Romance;1995;101;81;770;253528;554
Rain Man;Drama;1988;133;80;650;457528;1788
Inside Man;Crime, Drama, Mystery;2006;129;76;760;324550;8851
District 9;Action, Sci-Fi, Thriller;2009;112;79;810;622376;11565
Moon;Drama, Mystery, Sci-Fi;2009;97;79;670;323794;501
Beauty and the Beast;Animation, Family, Fantasy;1991;84;80;950;404985;21897
American Gangster;Biography, Crime, Drama;2007;157;78;760;378635;13016
Saw;Horror, Mystery, Thriller;2004;103;76;460;365987;560
Citizen Kane;Drama, Mystery;1941;119;83;1000;380537;159
Blow;Biography, Crime, Drama;2001;124;76;520;232518;5299
Donnie Brasco;Biography, Crime, Drama;1997;127;77;760;265434;4191
The Naked Gun;Comedy, Crime;1988;85;76;760;143880;7876
The Machinist;Drama, Thriller;2004;101;77;610;343911;108
Butch Cassidy and the Sundance Kid;Biography, Crime, Drama;1969;110;80;660;195740;10231
The Blind Side;Biography, Drama, Sport;2009;129;76;530;279588;25596
Vertigo;Mystery, Romance, Thriller;1958;128;83;1000;341174;32
Scent of a Woman;Drama;1992;156;80;590;245559;639
Serenity;Action, Adventure, Sci-Fi;2005;119;78;740;276954;2551
Office Space;Comedy;1999;89;77;680;234301;1082
Wild Tales;Comedy, Drama, Thriller;2014;122;81;770;163632;311
The Untouchables;Crime, Drama, Thriller;1987;119;79;790;267027;7627
What's Eating Gilbert Grape;Drama;1993;118;78;730;205816;917
Y Tu Mamá También;Drama;2001;106;76;880;111233;1362
Midnight Cowboy;Drama;1969;113;78;790;96093;4479
Man on Fire;Action, Crime, Drama;2004;146;77;470;318641;7791
Back to the Future Part II;Adventure, Comedy, Sci-Fi;1989;108;78;570;453113;1185
Some Like It Hot;Comedy, Music, Romance;1959;121;82;980;232498;250
The Graduate;Comedy, Drama, Romance;1967;106;80;830;245937;10495
Willy Wonka & the Chocolate Factory;Family, Fantasy, Musical;1971;100;78;670;169725;40
Life of Pi;Adventure, Drama, Fantasy;2012;127;79;790;559364;12499
Gifted;Drama;2017;101;76;600;91159;248
Manhattan;Comedy, Drama, Romance;1979;96;79;830;126614;457
Who Framed Roger Rabbit;Animation, Adventure, Comedy;1988;104;77;830;175277;15645
Monty Python's Life of Brian;Comedy;1979;94;81;770;351816;2005
Searching;Drama, Mystery, Thriller;2018;102;76;710;122608;2602
500 Days of Summer;Comedy, Drama, Romance;2009;95;77;760;456814;3239
Gattaca;Drama, Sci-Fi, Thriller;1997;106;78;640;270960;1234
The Blues Brothers;Adventure, Comedy, Crime;1980;133;79;600;174469;5723
Dances with Wolves;Adventure, Drama, Western;1990;181;80;720;230530;18421
Wreck-It Ralph;Animation, Adventure, Comedy;2012;101;77;720;364385;18942
Kick-Ass;Action, Adventure, Comedy;2010;117;76;660;512270;4807
First Blood;Action, Adventure;1982;93;77;610;216777;4721
The Great Escape;Adventure, Drama, History;1963;172;82;870;214622;121
Empire of the Sun;Action, Drama, History;1987;153;77;620;110475;2224
The Abyss;Adventure, Drama, Mystery;1989;171;76;620;156981;5446
Interview with the Vampire: The Vampire Chronicles;Drama, Horror;1994;123;76;590;284628;10526
Captain Phillips;Biography, Crime, Drama;2013;134;78;820;404263;1071
Star Trek Into Darkness;Action, Adventure, Sci-Fi;2013;132;77;720;454488;22878
Toy Story 2;Animation, Adventure, Comedy;1999;92;79;880;504528;24585
Primal Fear;Crime, Drama, Mystery;1996;129;77;470;174405;5612
The Hurt Locker;Drama, Thriller, War;2008;131;76;950;407403;1702
Taken;Action, Thriller;2008;90;78;510;551766;1450
Match Point;Drama, Romance, Thriller;2005;124;76;720;199128;2309
The Last of the Mohicans;Action, Adventure, Drama;1992;112;77;760;142392;7551
Boyz n the Hood;Crime, Drama;1991;112;77;760;118355;575
Apollo 13;Adventure, Drama, History;1995;140;76;770;256668;17384
The Count of Monte Cristo;Action, Adventure, Drama;2002;131;78;610;124747;5423
The Boy in the Striped Pajamas;Drama, War;2008;94;78;550;181226;903
Walk the Line;Biography, Drama, Music;2005;136;78;720;225518;11952
Mother;Crime, Drama, Thriller;2009;129;78;790;44852;55
The Bourne Ultimatum;Action, Mystery, Thriller;2007;115;80;850;591663;22747
I Saw the Devil;Action, Crime, Drama;2010;144;78;670;101841;13
Sense and Sensibility;Drama, Romance;1995;136;76;840;97207;4318
127 Hours;Biography, Drama;2010;94;76;820;336556;1834
Mr. Nobody;Drama, Fantasy, Romance;2009;141;78;630;207121;0
Isle of Dogs;Animation, Adventure, Comedy;2018;101;79;820;126278;3202
Papillon;Biography, Crime, Drama;1973;151;80;580;117200;5327
Seven Pounds;Drama;2008;123;76;360;278361;6995
The Warriors;Action, Crime, Thriller;1979;92;76;650;89585;2249
The Fighter;Biography, Drama, Sport;2010;116;78;790;328356;9362
In Bruges;Comedy, Crime, Drama;2008;107;79;670;377304;776
Cinema Paradiso;Drama;1988;155;85;800;215415;1199
The Royal Tenenbaums;Comedy, Drama;2001;110;76;760;256019;5236
The Hunt for Red October;Action, Adventure, Thriller;1990;135;76;580;171246;12201
Lost Highway;Mystery, Thriller;1997;134;76;520;124454;38
The Reader;Drama, Romance;2008;124;76;580;224286;3419
Young Frankenstein;Comedy;1974;106;80;800;137987;863
The Crow;Action, Drama, Fantasy;1994;102;76;710;160907;5069
Brazil;Drama, Sci-Fi;1985;132;79;880;181253;993
The Jungle Book;Animation, Adventure, Family;1967;78;76;650;159043;14184
The Thin Red Line;Drama, War;1998;170;76;780;166307;364
End of Watch;Action, Crime, Drama;2012;109;76;680;220302;410
Shoplifters;Crime, Drama;2018;121;80;930;50089;331
Close Encounters of the Third Kind;Drama, Sci-Fi;1977;138;76;900;175805;13209
Boyhood;Drama;2014;165;79;1000;325909;2538
Gone Baby Gone;Crime, Drama, Mystery;2007;114;76;720;241826;203
Bridge of Spies;Drama, History, Thriller;2015;142;76;810;275281;7231
The Girl with the Dragon Tattoo;Crime, Drama, Mystery;2009;152;78;760;203578;101
Traffic;Crime, Drama, Thriller;2000;147;76;860;190657;12412
How to Train Your Dragon;Animation, Action, Adventure;2010;98;81;750;639545;21758
The Bourne Supremacy;Action, Mystery, Thriller;2004;108;77;730;420678;17624
Halloween;Horror, Thriller;1978;91;78;810;218027;470
Das Boot;Adventure, Drama, Thriller;1981;149;83;860;221149;1149
Philadelphia;Drama;1993;125;77;660;215065;7732
Creed;Drama, Sport;2015;133;76;820;237177;10977
Fried Green Tomatoes;Drama;1991;130;77;640;64004;8242
Dawn of the Planet of the Apes;Action, Adventure, Drama;2014;130;76;790;401624;20855
The Raid: Redemption;Action, Thriller;2011;101;76;730;183075;411
Rise of the Planet of the Apes;Action, Drama, Sci-Fi;2011;105;76;680;485154;17676
Sleepers;Crime, Drama, Thriller;1996;147;76;490;181027;491
